     64.45 1.601986e+01 6.879945e+02 3.096191e+01 1.291910e-01
     96.68 1.617303e+01 7.513148e+02 3.143106e+01 1.908940e-01
    128.91 1.611753e+01 7.693787e+02 3.139151e+01 2.548460e-01
    161.13 1.611900e+01 8.008970e+02 3.145188e+01 3.179460e-01
    241.70 1.605872e+01 8.255366e+02 3.140690e+01 4.776020e-01
    322.27 1.584018e+01 8.261732e+02 3.100958e+01 6.449620e-01
    644.53 1.586834e+01 8.545913e+02 3.112044e+01 1.285329e+00
   1289.06 1.595541e+01 8.747567e+02 3.131847e+01 2.554403e+00
   2578.12 1.578598e+01 8.730098e+02 3.100020e+01 5.161257e+00
   6445.31 1.581473e+01 8.745119e+02 3.106214e+01 1.287741e+01
  12890.62 1.583367e+01 8.779593e+02 3.110340e+01 2.572066e+01
  25781.25 1.581352e+01 8.505065e+02 3.104816e+01 5.153284e+01
  38671.88 1.584391e+01 8.294677e+02 3.109282e+01 7.718823e+01
  51562.50 1.571232e+01 8.072202e+02 3.082383e+01 1.038158e+02
  96679.69 1.653801e+01 8.429855e+02 3.243915e+01 1.849617e+02
