     78.12 1.594095e+01 6.821282e+02 3.079434e+01 1.298940e-01
    117.19 1.619302e+01 7.507508e+02 3.146336e+01 1.906980e-01
    156.25 1.612565e+01 7.742935e+02 3.141246e+01 2.546760e-01
    195.31 1.613471e+01 7.969398e+02 3.148188e+01 3.176430e-01
    292.97 1.615937e+01 8.270843e+02 3.160130e+01 4.746640e-01
    390.62 1.606668e+01 8.440243e+02 3.145698e+01 6.357890e-01
    781.25 1.600704e+01 8.627383e+02 3.139178e+01 1.274219e+00
   1562.50 1.581136e+01 6.936136e+02 3.089207e+01 2.589661e+00
   3125.00 1.595024e+01 6.714677e+02 3.114700e+01 5.136931e+00
   7812.50 1.593618e+01 6.662935e+02 3.112246e+01 1.285245e+01
  15625.00 1.590884e+01 5.276036e+02 3.088350e+01 2.590380e+01
  31250.00 1.592387e+01 3.355622e+02 3.040337e+01 5.262574e+01
  46875.00 1.585977e+01 3.165282e+02 3.020497e+01 7.945713e+01
  62500.00 1.558218e+01 2.823049e+02 2.953326e+01 1.083524e+02
 117187.50 1.620748e+01 2.976976e+02 3.074087e+01 1.951799e+02
